Timestamp,Temp (ºC),Hum (%),Voltage (V),Current (Amp),Vibration (Vib),Fault,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,Over Load,Normal 
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,23.80,39.40,22.50,1.61,10.68,Normal ,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.50,41.10,22.50,1.67,9.76,Normal ,,,,,
2/13/2023,23.80,39.70,41.57,1.66,9.70,Over Load,,,,,
2/13/2023,23.70,40.00,22.50,1.39,9.76,Normal ,,,,,
2/13/2023,23.70,39.20,37.80,1.69,9.97,Over Load,,,,,
2/13/2023,23.70,39.20,44.18,1.95,10.17,Over Load,,,,,
2/13/2023,23.70,39.20,42.44,1.92,9.52,Over Load,,,,,
2/13/2023,23.80,39.40,42.18,1.96,9.28,Over Load,,,,,
2/13/2023,23.80,39.20,37.70,1.86,10.15,Over Load,,,,,
2/13/2023,23.90,39.40,36.44,1.87,9.49,Over Load,,,,,
2/13/2023,23.80,39.30,25.20,1.78,9.35,Normal ,,,,,
2/13/2023,23.80,39.40,26.22,1.57,9.41,Normal ,,,,,
2/13/2023,23.80,39.40,21.87,1.84,9.71,Normal ,,,,,
2/13/2023,23.80,39.40,21.89,1.82,10.02,Normal ,,,,,
2/13/2023,23.80,39.50,26.06,1.76,9.73,Normal ,,,,,
2/13/2023,23.90,39.10,22.28,1.82,9.44,Normal ,,,,,
2/13/2023,23.90,39.10,22.50,2.04,10.03,Normal ,,,,,
2/13/2023,23.90,38.90,36.77,2.06,10.35,Over Load,,,,,
2/13/2023,23.90,38.90,36.11,1.90,12.61,Over Load,,,,,
2/13/2023,23.90,38.90,38.34,2.00,9.86,Over Load,,,,,
2/13/2023,23.90,39.10,39.12,2.07,9.18,Over Load,,,,,
2/13/2023,23.90,39.00,40.36,2.07,9.68,Over Load,,,,,
2/13/2023,23.80,39.10,35.44,1.98,9.79,Over Load,,,,,
2/13/2023,23.70,39.10,35.85,1.87,10.63,Over Load,,,,,
2/13/2023,23.70,39.10,35.50,1.89,9.38,Over Load,,,,,
2/13/2023,23.90,38.90,36.16,1.99,9.82,Over Load,,,,,
2/13/2023,23.90,38.90,35.13,1.96,9.78,Over Load,,,,,
2/13/2023,23.90,38.90,39.23,1.81,9.95,Over Load,,,,,
2/13/2023,23.90,39.00,37.77,2.21,10.15,Over Load,,,,,
2/13/2023,23.90,39.00,38.47,1.92,9.97,Over Load,,,,,
2/13/2023,24.00,38.80,35.69,1.83,10.33,Over Load,,,,,
2/13/2023,24.00,38.60,34.36,1.83,9.56,Over Load,,,,,
2/13/2023,24.00,38.50,41.08,2.10,9.09,Over Load,,,,,
2/13/2023,24.00,38.70,27.99,1.23,9.42,Normal ,,,,,
2/13/2023,24.00,38.80,26.04,1.37,9.65,Normal ,,,,,
2/13/2023,24.10,38.70,26.81,1.55,9.84,Normal ,,,,,
2/13/2023,24.10,38.70,27.86,1.61,10.13,Normal ,,,,,
2/13/2023,24.00,40.30,24.81,1.47,10.23,Normal ,,,,,
2/13/2023,23.90,39.10,26.87,1.86,9.24,Normal ,,,,,
2/13/2023,23.90,39.10,16.21,1.35,9.54,Normal ,,,,,
2/13/2023,23.90,39.20,24.55,1.91,10.12,Normal ,,,,,
2/13/2023,24.00,38.90,25.01,1.68,9.69,Normal ,,,,,
2/13/2023,23.90,38.80,16.77,1.26,10.32,Normal ,,,,,
2/13/2023,23.90,38.80,23.11,1.50,9.82,Normal ,,,,,
2/13/2023,23.90,38.80,27.02,1.94,10.01,Normal ,,,,,
2/13/2023,24.00,38.80,25.63,2.07,9.12,Normal ,,,,,
2/13/2023,23.90,38.90,28.06,2.16,9.42,Normal ,,,,,
2/13/2023,23.90,39.00,45.50,2.29,9.78,Over Load,,,,,
2/13/2023,24.00,38.80,46.17,2.25,10.01,Over Load,,,,,
2/13/2023,24.00,38.90,47.16,2.58,9.75,Over Load,,,,,
2/13/2023,24.00,38.90,47.04,2.50,10.21,Over Load,,,,,
2/13/2023,23.90,39.10,46.74,2.43,9.62,Over Load,,,,,
2/13/2023,23.90,39.10,47.95,2.20,10.23,Over Load,,,,,
2/13/2023,23.80,39.30,40.79,2.06,10.04,Over Load,,,,,
2/13/2023,23.90,39.30,43.14,2.03,9.12,Over Load,,,,,
2/13/2023,23.90,39.30,33.05,1.67,9.04,Over Load,,,,,
2/13/2023,23.90,39.20,43.35,2.15,9.84,Over Load,,,,,
2/13/2023,23.90,39.10,40.82,2.44,9.69,Over Load,,,,,
2/13/2023,23.90,39.00,76.00,2.52,10.41,Over Load,,,,,
2/13/2023,23.90,39.40,27.04,5.51,10.19,Normal ,,,,,
2/13/2023,23.90,39.30,26.21,6.00,9.89,Normal ,,,,,
2/13/2023,23.90,39.30,28.06,6.00,9.32,Normal ,,,,,
2/13/2023,23.90,39.30,27.88,6.00,10.48,Normal ,,,,,
2/13/2023,23.90,39.30,28.75,6.00,10.18,Normal ,,,,,
2/13/2023,23.90,39.30,28.08,6.00,9.43,Normal ,,,,,
2/13/2023,23.90,39.30,28.57,6.00,9.52,Normal ,,,,,
2/13/2023,23.90,39.20,26.43,6.00,9.54,Normal ,,,,,
2/13/2023,23.90,39.30,25.53,6.00,9.48,Normal ,,,,,
2/13/2023,23.90,39.30,29.81,6.00,9.74,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,24.00,39.70,28.02,1.75,9.38,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,23.30,40.10,22.50,1.39,9.77,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.70,22.47,1.23,10.27,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.30,38.80,22.79,1.17,9.33,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.20,38.50,23.92,1.24,9.84,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.10,38.80,22.59,1.08,9.82,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,38.80,23.33,1.30,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.00,39.00,27.53,1.10,9.92,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.10,22.84,1.21,9.97,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.00,26.86,1.18,9.54,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,27.07,1.25,9.67,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.10,26.62,1.22,10.19,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.10,39.00,20.05,1.01,10.39,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.20,24.99,1.17,9.82,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.10,24.10,1.16,10.20,Normal ,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,35.52,1.65,9.48,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,38.30,1.26,10.12,Over Load,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,39.00,25.84,1.24,9.99,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,38.90,24.92,0.93,10.26,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,24.00,39.20,26.62,1.31,9.69,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.20,29.09,1.19,9.45,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,29.47,1.41,9.96,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,23.90,39.10,25.59,1.20,9.25,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,24.00,38.90,32.70,1.35,9.75,Normal ,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.80,39.40,60.93,1.61,10.68,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.70,39.60,46.00,1.56,10.19,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.60,39.60,49.41,1.72,9.85,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.40,39.90,48.81,1.58,9.35,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,23.20,40.50,42.89,1.55,9.73,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.70,41.00,43.49,1.57,9.74,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
2/13/2023,22.50,41.10,55.75,1.67,9.76,Over Load,,,,,
